date,ticker,open,high,low,close,volume
2024-01-02,AAPL,80.00,81.21,78.47,79.67,1405510
2024-01-03,AAPL,79.67,83.53,78.45,82.27,2253873
2024-01-04,AAPL,82.27,83.38,80.90,82.01,1292664
2024-01-05,AAPL,82.01,83.44,80.82,82.25,1234482
2024-01-08,AAPL,82.25,84.04,81.17,82.95,1464104
2024-01-09,AAPL,82.95,86.14,81.72,84.88,1949627
2024-01-10,AAPL,84.88,85.41,83.15,83.66,1506277
2024-01-11,AAPL,83.66,84.43,81.74,82.50,1572396
2024-01-12,AAPL,82.50,86.82,81.23,85.50,2507625
2024-01-15,AAPL,85.50,86.84,82.73,84.04,1883211
2024-01-16,AAPL,84.04,85.92,81.41,83.27,1361987
2024-01-17,AAPL,83.27,86.49,81.88,85.07,1862274
2024-01-18,AAPL,85.07,86.55,82.53,83.99,1439922
2024-01-19,AAPL,83.99,84.72,81.62,82.33,1949042
2024-01-22,AAPL,82.33,82.85,81.44,81.95,1249430
2024-01-23,AAPL,81.95,83.18,77.80,78.98,2540297
2024-01-24,AAPL,78.98,80.73,76.76,78.50,1511096
2024-01-25,AAPL,78.50,79.66,77.75,78.91,1267496
2024-01-26,AAPL,78.91,79.70,75.59,76.36,2573296
2024-01-29,AAPL,76.36,77.48,73.80,74.89,1710636
2024-01-30,AAPL,74.89,77.47,73.67,76.24,2017075
2024-01-31,AAPL,76.24,78.04,73.05,74.82,1865893
2024-02-01,AAPL,74.82,78.18,73.76,77.08,2403737
2024-02-02,AAPL,77.08,77.59,74.39,74.88,2205938
2024-02-05,AAPL,74.88,76.13,73.30,74.55,1341064
2024-02-06,AAPL,74.55,75.20,72.93,73.58,1466555
2024-02-07,AAPL,73.58,76.05,72.87,75.32,2195523
2024-02-08,AAPL,75.32,78.91,74.13,77.68,2313353
2024-02-09,AAPL,77.68,77.92,75.14,75.37,2322068
2024-02-12,AAPL,75.37,76.76,74.03,75.42,1275797
2024-02-13,AAPL,75.42,77.21,72.15,73.91,1888957
2024-02-14,AAPL,73.91,75.64,72.83,74.56,1282785
2024-02-15,AAPL,74.56,76.36,73.30,75.10,1577031
2024-02-16,AAPL,75.10,76.79,73.75,75.43,1340207
2024-02-19,AAPL,75.43,78.21,74.29,77.04,2041225
2024-02-20,AAPL,77.04,78.40,75.87,77.22,1219039
2024-02-21,AAPL,77.22,78.92,76.58,78.26,1656263
2024-02-22,AAPL,78.26,81.59,77.38,80.69,2338032
2024-02-23,AAPL,80.69,82.69,79.79,81.78,1535758
2024-02-26,AAPL,81.78,84.92,80.21,83.32,1659659
2024-02-27,AAPL,83.32,84.38,80.57,81.61,1860276
2024-02-28,AAPL,81.61,82.95,80.36,81.70,1226441
2024-02-29,AAPL,81.70,83.15,79.23,80.65,1480243
2024-03-01,AAPL,80.65,81.08,79.82,80.24,1428428
2024-03-04,AAPL,80.24,80.55,78.81,79.12,1699595
2024-03-05,AAPL,79.12,81.78,78.65,81.31,2364191
2024-03-06,AAPL,81.31,82.43,80.80,81.92,1409645
2024-03-07,AAPL,81.92,83.25,79.44,80.75,1680328
2024-03-08,AAPL,80.75,82.44,79.71,81.39,1328050
2024-03-11,AAPL,81.39,82.45,79.80,80.86,1477513
2024-03-12,AAPL,80.86,81.97,79.88,80.99,1045870
2024-03-13,AAPL,80.99,81.69,76.94,77.62,2889161
2024-03-14,AAPL,77.62,81.61,76.53,80.49,2702832
2024-03-15,AAPL,80.49,81.94,77.65,79.07,1786101
2024-03-18,AAPL,79.07,79.70,77.19,77.81,1599543
