date,ticker,open,high,low,close,volume
2024-01-02,AMD,185.00,190.09,182.50,187.56,1569338
2024-01-03,AMD,187.56,198.34,184.59,195.26,2634824
2024-01-04,AMD,195.26,199.91,187.87,192.45,1715645
2024-01-05,AMD,192.45,196.24,187.24,191.01,1459440
2024-01-08,AMD,191.01,194.60,188.77,192.35,1536732
2024-01-09,AMD,192.35,195.83,184.73,188.13,1893132
2024-01-10,AMD,188.13,190.98,182.39,185.19,1898590
2024-01-11,AMD,185.19,187.61,176.91,179.24,2311980
2024-01-12,AMD,179.24,183.34,176.75,180.82,1451333
2024-01-15,AMD,180.82,188.98,175.99,184.06,1767214
2024-01-16,AMD,184.06,186.90,178.57,181.38,1658094
2024-01-17,AMD,181.38,183.33,176.09,178.01,1854000
2024-01-18,AMD,178.01,178.09,172.93,173.01,2244347
2024-01-19,AMD,173.01,175.29,171.79,174.06,1271818
2024-01-22,AMD,174.06,176.91,168.28,171.08,1765601
2024-01-23,AMD,171.08,173.41,168.49,170.81,1311194
2024-01-24,AMD,170.81,178.35,168.47,175.94,2226876
2024-01-25,AMD,175.94,177.60,173.50,175.15,1219771
2024-01-26,AMD,175.15,176.74,167.86,169.40,2505509
2024-01-29,AMD,169.40,172.11,160.91,163.53,2412687
2024-01-30,AMD,163.53,167.32,160.79,164.57,1533543
2024-01-31,AMD,164.57,167.32,157.96,160.65,2156542
2024-02-01,AMD,160.65,166.28,156.44,162.03,1508590
2024-02-02,AMD,162.03,166.99,158.24,163.17,1535807
2024-02-05,AMD,163.17,168.93,160.09,165.80,1680313
2024-02-06,AMD,165.80,167.18,161.27,162.63,1857670
2024-02-07,AMD,162.63,164.37,157.50,159.20,2010591
2024-02-08,AMD,159.20,163.86,155.41,160.04,1175898
2024-02-09,AMD,160.04,161.58,157.44,158.97,1309941
2024-02-12,AMD,158.97,159.26,157.73,158.02,1153542
2024-02-13,AMD,158.02,158.89,154.63,155.49,1704950
2024-02-14,AMD,155.49,161.42,153.48,159.37,2263754
2024-02-15,AMD,159.37,164.97,155.78,161.34,1561900
2024-02-16,AMD,161.34,167.01,157.51,163.14,1382780
2024-02-19,AMD,163.14,164.75,158.49,160.06,1917074
2024-02-20,AMD,160.06,161.36,158.39,159.68,1372689
2024-02-21,AMD,159.68,162.23,155.90,158.44,1277323
2024-02-22,AMD,158.44,160.19,157.41,159.16,1269307
2024-02-23,AMD,159.16,162.26,150.58,153.58,2632791
2024-02-26,AMD,153.58,157.87,152.96,157.25,1925231
2024-02-27,AMD,157.25,160.16,155.59,158.48,1407100
2024-02-28,AMD,158.48,159.12,155.69,156.31,1631881
2024-02-29,AMD,156.31,158.23,154.57,156.48,1312324
2024-03-01,AMD,156.48,157.69,154.31,155.50,1360484
2024-03-04,AMD,155.50,158.42,149.99,152.86,1674762
2024-03-05,AMD,152.86,155.40,149.52,152.05,1432168
2024-03-06,AMD,152.05,152.44,151.01,151.40,1092660
2024-03-07,AMD,151.40,153.91,145.66,148.13,1989893
2024-03-08,AMD,148.13,151.20,145.63,148.70,1254287
2024-03-11,AMD,148.70,149.35,147.67,148.33,1329757
2024-03-12,AMD,148.33,149.68,145.81,147.15,1335941
2024-03-13,AMD,147.15,148.32,142.16,143.29,2082742
2024-03-14,AMD,143.29,147.87,142.15,146.70,2153170
2024-03-15,AMD,146.70,148.49,144.86,146.65,1258899
2024-03-18,AMD,146.65,148.66,144.50,146.52,1242504
2024-03-19,AMD,146.52,148.10,144.37,145.95,1181337
2024-03-20,AMD,145.95,147.49,144.23,145.77,1118789
2024-03-21,AMD,145.77,151.02,142.14,147.36,1729453
2024-03-22,AMD,147.36,151.22,146.06,149.90,1980918
2024-03-25,AMD,149.90,152.63,143.95,146.61,1894019
2024-03-26,AMD,146.61,148.77,144.48,146.64,1130065
2024-03-27,AMD,146.64,148.68,142.66,144.67,1700506
2024-03-28,AMD,144.67,144.78,144.53,144.63,1239672
2024-03-29,AMD,144.63,145.63,141.81,142.80,1762807
2024-04-01,AMD,142.80,143.65,141.45,142.30,1307899
2024-04-02,AMD,142.30,145.73,141.81,145.23,1981086
2024-04-03,AMD,145.23,147.21,143.75,145.72,1404377
2024-04-04,AMD,145.72,148.48,144.97,147.72,1538200
2024-04-05,AMD,147.72,148.82,140.43,141.49,2920736
2024-04-08,AMD,141.49,144.53,139.13,142.16,1121864
2024-04-09,AMD,142.16,146.27,139.77,143.85,1424144
2024-04-10,AMD,143.85,147.54,141.42,145.08,1312488
2024-04-11,AMD,145.08,145.90,143.67,144.48,1317371
2024-04-12,AMD,144.48,147.62,142.11,145.23,1376153
2024-04-15,AMD,145.23,146.65,143.92,145.34,1267725
2024-04-16,AMD,145.34,147.68,142.34,144.66,1458322
2024-04-17,AMD,144.66,150.07,142.06,147.41,1835110
2024-04-18,AMD,147.41,148.86,145.72,147.17,1189331
2024-04-19,AMD,147.17,149.19,145.94,147.95,1462386
2024-04-22,AMD,147.95,156.76,144.13,152.81,2428356
2024-04-23,AMD,152.81,155.65,151.38,154.19,1412871
2024-04-24,AMD,154.19,160.10,152.26,158.12,1940620
