date,ticker,open,high,low,close,volume
2024-01-02,AMZN,290.00,305.75,284.46,300.01,2350595
2024-01-03,AMZN,300.01,319.86,295.23,314.84,3169421
2024-01-04,AMZN,314.84,324.70,309.53,319.32,1793388
2024-01-05,AMZN,319.32,332.27,314.87,327.70,2344343
2024-01-08,AMZN,327.70,330.12,322.70,325.09,1491350
2024-01-09,AMZN,325.09,335.43,320.19,330.45,1608767
2024-01-10,AMZN,330.45,331.26,328.00,328.80,1116404
2024-01-11,AMZN,328.80,336.02,319.72,326.90,1202352
2024-01-12,AMZN,326.90,330.25,315.23,318.49,2094346
2024-01-15,AMZN,318.49,328.67,312.65,322.75,1647673
2024-01-16,AMZN,322.75,330.15,317.83,325.20,1426913
2024-01-17,AMZN,325.20,327.31,322.42,324.53,1109747
2024-01-18,AMZN,324.53,329.07,313.78,318.23,1724103
2024-01-19,AMZN,318.23,325.53,311.28,318.57,1319809
2024-01-22,AMZN,318.57,327.54,315.97,324.89,1790116
2024-01-23,AMZN,324.89,327.81,319.21,322.11,1486243
2024-01-24,AMZN,322.11,326.78,315.52,320.16,1209591
2024-01-25,AMZN,320.16,321.66,319.73,321.23,1291693
2024-01-26,AMZN,321.23,336.97,315.18,330.74,2261108
2024-01-29,AMZN,330.74,336.04,327.21,332.50,1381509
2024-01-30,AMZN,332.50,337.66,311.02,315.92,2971944
2024-01-31,AMZN,315.92,328.53,312.52,325.03,2218092
2024-02-01,AMZN,325.03,337.84,318.28,330.96,1808580
2024-02-02,AMZN,330.96,332.27,327.55,328.85,1184325
2024-02-05,AMZN,328.85,335.91,328.45,335.50,2010149
2024-02-06,AMZN,335.50,342.47,324.29,331.17,1550107
2024-02-07,AMZN,331.17,332.50,321.43,322.73,2090775
2024-02-08,AMZN,322.73,330.58,317.18,324.99,1320098
2024-02-09,AMZN,324.99,334.74,321.61,331.29,1999406
2024-02-12,AMZN,331.29,336.82,323.94,329.43,1183138
2024-02-13,AMZN,329.43,335.82,325.58,331.95,1560154
2024-02-14,AMZN,331.95,337.44,321.01,326.41,1864143
2024-02-15,AMZN,326.41,330.66,323.96,328.19,1455803
2024-02-16,AMZN,328.19,337.62,326.46,335.85,2215054
2024-02-19,AMZN,335.85,344.24,330.81,339.14,1453244
2024-02-20,AMZN,339.14,347.70,332.10,340.62,1274177
2024-02-21,AMZN,340.62,345.39,332.71,337.43,1401106
2024-02-22,AMZN,337.43,341.03,330.14,333.70,1370261
2024-02-23,AMZN,333.70,340.89,321.66,328.75,1661848
2024-02-26,AMZN,328.75,335.84,325.55,332.60,1759430
2024-02-27,AMZN,332.60,341.58,330.40,339.33,1734156
2024-02-28,AMZN,339.33,344.30,339.03,343.99,1688395
2024-02-29,AMZN,343.99,355.47,340.63,352.03,2077443
2024-03-01,AMZN,352.03,356.10,351.99,356.05,1468825
2024-03-04,AMZN,356.05,358.95,353.78,356.68,1003774
2024-03-05,AMZN,356.68,368.14,351.27,362.64,1582671
2024-03-06,AMZN,362.64,369.27,358.57,365.17,1372974
2024-03-07,AMZN,365.17,373.43,360.44,368.65,1669249
2024-03-08,AMZN,368.65,388.35,362.80,382.29,2715716
2024-03-11,AMZN,382.29,389.27,366.53,373.34,2034179
2024-03-12,AMZN,373.34,380.77,363.53,370.91,1462997
2024-03-13,AMZN,370.91,376.24,352.67,357.81,2697027
2024-03-14,AMZN,357.81,365.60,356.51,364.27,1806551
2024-03-15,AMZN,364.27,368.18,358.40,362.29,1425620
2024-03-18,AMZN,362.29,381.33,358.01,376.87,2546157
2024-03-19,AMZN,376.87,381.63,365.85,370.52,1923084
2024-03-20,AMZN,370.52,377.70,364.57,371.73,1315224
2024-03-21,AMZN,371.73,380.46,352.70,361.17,2401287
2024-03-22,AMZN,361.17,369.71,359.23,367.73,1924806
2024-03-25,AMZN,367.73,381.84,362.68,376.67,2098131
2024-03-26,AMZN,376.67,385.17,371.97,380.43,1348233
2024-03-27,AMZN,380.43,389.19,374.13,382.85,1424508
2024-03-28,AMZN,382.85,386.96,380.35,384.45,1183994
2024-03-29,AMZN,384.45,388.57,382.86,386.97,1191973
2024-04-01,AMZN,386.97,399.05,377.60,389.62,1561212
2024-04-02,AMZN,389.62,395.23,377.62,383.13,1939118
2024-04-03,AMZN,383.13,394.96,377.42,389.17,1702009
2024-04-04,AMZN,389.17,395.81,380.17,386.78,1529216
2024-04-05,AMZN,386.78,398.55,382.60,394.29,2071130
2024-04-08,AMZN,394.29,399.01,378.60,383.20,2100540
2024-04-09,AMZN,383.20,386.42,374.10,377.28,1811938
2024-04-10,AMZN,377.28,383.66,373.55,379.91,1187895
2024-04-11,AMZN,379.91,389.56,376.89,386.49,1991787
2024-04-12,AMZN,386.49,399.24,379.90,392.54,1554253
2024-04-15,AMZN,392.54,399.96,388.57,395.95,1259358
2024-04-16,AMZN,395.95,408.45,393.89,406.34,2324198
2024-04-17,AMZN,406.34,421.46,405.02,420.10,2522001
2024-04-18,AMZN,420.10,425.48,409.44,414.75,1521065
2024-04-19,AMZN,414.75,428.00,407.01,420.16,1438068
2024-04-22,AMZN,420.16,426.78,403.43,409.88,2014774
2024-04-23,AMZN,409.88,413.71,400.66,404.44,1544490
2024-04-24,AMZN,404.44,409.07,390.59,395.11,1871443
2024-04-25,AMZN,395.11,396.37,394.59,395.85,1350775
2024-04-26,AMZN,395.85,409.41,387.52,400.97,1700140
2024-04-29,AMZN,400.97,408.68,391.77,399.46,1143216
2024-04-30,AMZN,399.46,405.73,392.49,398.75,1076756
2024-05-01,AMZN,398.75,413.21,394.54,408.89,1975358
2024-05-02,AMZN,408.89,409.93,406.58,407.61,1397747
2024-05-03,AMZN,407.61,418.86,398.18,409.38,1295966
2024-05-06,AMZN,409.38,414.91,404.84,410.35,995551
2024-05-07,AMZN,410.35,415.64,401.01,406.25,1336534
2024-05-08,AMZN,406.25,415.67,403.24,412.61,1744646
2024-05-09,AMZN,412.61,423.84,405.52,416.68,1628989
2024-05-10,AMZN,416.68,425.65,408.62,417.57,1199513
2024-05-13,AMZN,417.57,420.71,413.99,417.13,1046642
2024-05-14,AMZN,417.13,428.30,407.12,418.27,1196468
2024-05-15,AMZN,418.27,421.85,409.11,412.64,1523730
2024-05-16,AMZN,412.64,415.57,403.56,406.45,1573980
2024-05-17,AMZN,406.45,414.81,399.59,407.91,1308197
2024-05-20,AMZN,407.91,415.25,397.75,405.03,1413614
2024-05-21,AMZN,405.03,407.18,403.40,405.55,1199138
2024-05-22,AMZN,405.55,416.75,401.61,412.75,1714003
2024-05-23,AMZN,412.75,418.22,398.19,403.54,2054227
2024-05-24,AMZN,403.54,410.21,397.87,404.53,1365721
2024-05-27,AMZN,404.53,410.00,396.73,402.17,1186268
2024-05-28,AMZN,402.17,409.01,390.56,397.32,1567111
2024-05-29,AMZN,397.32,397.70,392.98,393.36,1636298
2024-05-30,AMZN,393.36,410.23,384.79,401.48,2025164
2024-05-31,AMZN,401.48,406.09,394.93,399.52,1477167
2024-06-03,AMZN,399.52,404.73,386.08,391.18,2108414
2024-06-04,AMZN,391.18,401.28,387.63,397.67,1790638
2024-06-05,AMZN,397.67,401.49,391.16,394.95,1515385
2024-06-06,AMZN,394.95,396.40,387.91,389.33,1828880
2024-06-07,AMZN,389.33,400.44,382.90,393.93,1581276
2024-06-10,AMZN,393.93,398.64,392.26,396.95,1561578
2024-06-11,AMZN,396.95,409.12,387.98,400.08,1297751
2024-06-12,AMZN,400.08,404.14,389.93,393.92,1611588
