date,ticker,open,high,low,close,volume
2024-01-02,GOOGL,325.00,344.57,315.92,335.20,2532338
2024-01-03,GOOGL,335.20,353.85,330.28,348.73,2554343
2024-01-04,GOOGL,348.73,361.23,343.35,355.73,1731404
2024-01-05,GOOGL,355.73,370.51,346.35,360.99,1631340
2024-01-08,GOOGL,360.99,368.05,347.89,354.83,1774366
2024-01-09,GOOGL,354.83,361.30,336.86,343.11,2305794
2024-01-10,GOOGL,343.11,357.37,339.30,353.44,2105443
2024-01-11,GOOGL,353.44,368.62,347.24,362.27,2125032
2024-01-12,GOOGL,362.27,374.24,360.24,372.16,2073923
2024-01-15,GOOGL,372.16,375.17,367.22,370.21,1170912
2024-01-16,GOOGL,370.21,384.56,364.33,378.55,2152853
2024-01-17,GOOGL,378.55,387.25,372.72,381.38,1384650
2024-01-18,GOOGL,381.38,395.74,375.82,390.05,2118454
2024-01-19,GOOGL,390.05,399.39,374.31,383.49,1865858
2024-01-22,GOOGL,383.49,395.91,381.18,393.54,2286399
2024-01-23,GOOGL,393.54,399.80,393.23,399.48,1782918
2024-01-24,GOOGL,399.48,412.96,391.95,405.32,1737715
2024-01-25,GOOGL,405.32,410.26,401.70,406.64,1216191
2024-01-26,GOOGL,406.64,411.30,391.15,395.69,2093365
2024-01-29,GOOGL,395.69,398.06,385.13,387.45,1800730
2024-01-30,GOOGL,387.45,392.04,375.15,379.64,2053843
2024-01-31,GOOGL,379.64,383.81,375.07,379.23,1097029
2024-02-01,GOOGL,379.23,387.63,370.10,378.49,1347334
2024-02-02,GOOGL,378.49,383.76,366.73,371.92,1844295
2024-02-05,GOOGL,371.92,383.30,362.37,373.71,1360235
2024-02-06,GOOGL,373.71,377.45,360.83,364.48,2041153
2024-02-07,GOOGL,364.48,370.84,348.60,354.79,2098337
2024-02-08,GOOGL,354.79,359.42,338.02,342.50,2397090
2024-02-09,GOOGL,342.50,342.55,341.64,341.70,1365316
2024-02-12,GOOGL,341.70,347.61,334.38,340.28,1462312
