date,ticker,open,high,low,close,volume
2024-01-02,MSFT,115.00,115.69,112.83,113.52,1660882
2024-01-03,MSFT,113.52,119.55,111.95,117.92,2651473
2024-01-04,MSFT,117.92,123.11,117.60,122.77,2776708
2024-01-05,MSFT,122.77,124.94,121.25,123.41,1252984
2024-01-08,MSFT,123.41,128.55,121.55,126.65,2015142
2024-01-09,MSFT,126.65,127.69,121.45,122.45,2423266
2024-01-10,MSFT,122.45,124.99,117.14,119.62,2054105
2024-01-11,MSFT,119.62,126.08,117.59,123.98,2461964
2024-01-12,MSFT,123.98,126.67,117.29,119.89,2320588
2024-01-15,MSFT,119.89,122.38,115.89,118.35,1663468
2024-01-16,MSFT,118.35,123.36,116.79,121.76,2380690
2024-01-17,MSFT,121.76,123.66,120.51,122.40,1129919
2024-01-18,MSFT,122.40,124.17,116.10,117.80,2438125
2024-01-19,MSFT,117.80,120.71,115.21,118.12,1327549
2024-01-22,MSFT,118.12,120.02,115.56,117.45,1451725
2024-01-23,MSFT,117.45,124.25,115.72,122.46,2968098
2024-01-24,MSFT,122.46,124.47,120.02,122.03,1042385
2024-01-25,MSFT,122.03,122.52,121.35,121.84,1293203
2024-01-26,MSFT,121.84,124.75,120.47,123.36,1520268
2024-01-29,MSFT,123.36,129.81,121.14,127.52,2493526
2024-01-30,MSFT,127.52,132.26,126.20,130.91,2095836
2024-01-31,MSFT,130.91,137.20,130.09,136.34,2627960
2024-02-01,MSFT,136.34,140.13,134.93,138.70,1979345
2024-02-02,MSFT,138.70,141.57,134.65,137.49,1327062
2024-02-05,MSFT,137.49,138.68,134.47,135.64,1606248
2024-02-06,MSFT,135.64,137.62,128.63,130.53,2719135
2024-02-07,MSFT,130.53,134.58,128.72,132.73,1969517
2024-02-08,MSFT,132.73,137.15,130.45,134.84,1874675
2024-02-09,MSFT,134.84,141.08,133.00,139.18,2360039
2024-02-12,MSFT,139.18,143.83,136.77,141.37,1584651
2024-02-13,MSFT,141.37,146.00,139.73,144.32,1777104
2024-02-14,MSFT,144.32,148.15,141.71,145.52,1605090
2024-02-15,MSFT,145.52,149.55,143.87,147.87,1616914
2024-02-16,MSFT,147.87,150.26,141.47,143.80,2356129
2024-02-19,MSFT,143.80,147.17,141.00,144.37,1406989
2024-02-20,MSFT,144.37,145.09,144.14,144.86,1190846
2024-02-21,MSFT,144.86,147.68,140.94,143.74,1405854
2024-02-22,MSFT,143.74,146.13,141.34,143.73,1131749
2024-02-23,MSFT,143.73,146.18,141.36,143.80,1000248
2024-02-26,MSFT,143.80,147.38,138.79,142.32,1409871
2024-02-27,MSFT,142.32,144.79,138.26,140.70,1484217
2024-02-28,MSFT,140.70,142.37,136.56,138.19,1667938
2024-02-29,MSFT,138.19,138.62,131.87,132.28,2663035
2024-03-01,MSFT,132.28,140.45,130.65,138.73,2971029
2024-03-04,MSFT,138.73,142.66,138.62,142.55,2021992
2024-03-05,MSFT,142.55,145.43,141.27,144.14,1372265
2024-03-06,MSFT,144.14,151.33,140.25,147.36,2099489
2024-03-07,MSFT,147.36,149.68,145.26,147.58,1229005
2024-03-08,MSFT,147.58,150.94,146.53,149.87,1657455
2024-03-11,MSFT,149.87,150.87,149.39,150.39,1040559
2024-03-12,MSFT,150.39,156.48,147.83,153.87,2151088
2024-03-13,MSFT,153.87,155.92,150.85,152.89,1331664
2024-03-14,MSFT,152.89,156.39,150.58,154.06,1338841
2024-03-15,MSFT,154.06,161.75,151.85,159.47,2410986
2024-03-18,MSFT,159.47,162.11,159.18,161.81,1702173
2024-03-19,MSFT,161.81,163.20,158.88,160.25,1450030
2024-03-20,MSFT,160.25,162.66,158.21,160.62,1251073
2024-03-21,MSFT,160.62,162.44,156.97,158.78,1411128
2024-03-22,MSFT,158.78,160.42,158.22,159.86,1254198
2024-03-25,MSFT,159.86,161.46,156.68,158.26,1387167
2024-03-26,MSFT,158.26,160.61,153.00,155.31,1794050
2024-03-27,MSFT,155.31,156.33,151.86,152.87,1555566
2024-03-28,MSFT,152.87,155.80,147.65,150.53,1697742
2024-03-29,MSFT,150.53,152.43,147.54,149.42,1385411
2024-04-01,MSFT,149.42,150.51,145.65,146.72,1837110
2024-04-02,MSFT,146.72,148.57,144.48,146.33,1087982
2024-04-03,MSFT,146.33,148.83,137.66,140.06,2826116
2024-04-04,MSFT,140.06,141.37,135.50,136.77,1925234
2024-04-05,MSFT,136.77,138.90,134.93,137.06,1058634
2024-04-08,MSFT,137.06,137.31,131.80,132.04,2409409
2024-04-09,MSFT,132.04,132.83,124.39,125.13,3381759
2024-04-10,MSFT,125.13,126.62,121.60,123.07,1707319
2024-04-11,MSFT,123.07,125.54,121.20,123.67,1129888
2024-04-12,MSFT,123.67,128.06,121.64,126.00,1757373
2024-04-15,MSFT,126.00,128.87,121.00,123.83,1610847
2024-04-16,MSFT,123.83,128.28,122.47,126.89,1918048
2024-04-17,MSFT,126.89,127.74,122.40,123.22,2103119
2024-04-18,MSFT,123.22,127.27,122.33,126.35,1999084
2024-04-19,MSFT,126.35,126.71,121.95,122.30,2507878
2024-04-22,MSFT,122.30,124.57,115.21,117.39,2753211
2024-04-23,MSFT,117.39,119.88,115.53,118.01,1320805
2024-04-24,MSFT,118.01,120.65,116.75,119.38,1551060
2024-04-25,MSFT,119.38,122.61,117.57,120.78,1749861
2024-04-26,MSFT,120.78,122.44,119.76,121.42,1407337
2024-04-29,MSFT,121.42,124.27,120.87,123.72,2006849
2024-04-30,MSFT,123.72,125.61,122.55,124.43,1445683
2024-05-01,MSFT,124.43,126.32,117.00,118.81,2867921
2024-05-02,MSFT,118.81,119.74,116.43,117.35,1522317
