date,ticker,open,high,low,close,volume
2024-01-02,NVDA,150.00,151.99,143.06,144.98,2492186
2024-01-03,NVDA,144.98,146.82,141.39,143.21,1645857
2024-01-04,NVDA,143.21,146.10,140.98,143.85,1392954
2024-01-05,NVDA,143.85,146.40,142.20,144.74,1316051
2024-01-08,NVDA,144.74,146.70,137.93,139.82,2608431
2024-01-09,NVDA,139.82,142.40,136.41,138.97,1366499
2024-01-10,NVDA,138.97,141.68,127.67,130.20,3463133
2024-01-11,NVDA,130.20,134.47,127.97,132.20,1851720
2024-01-12,NVDA,132.20,139.83,130.42,137.97,3003417
2024-01-15,NVDA,137.97,139.38,135.68,137.08,1207278
2024-01-16,NVDA,137.08,138.66,131.20,132.73,2243969
2024-01-17,NVDA,132.73,141.22,130.87,139.27,3196860
2024-01-18,NVDA,139.27,142.85,137.33,140.89,1712912
2024-01-19,NVDA,140.89,143.30,135.64,138.00,1997913
2024-01-22,NVDA,138.00,139.04,128.67,129.65,3468632
2024-01-23,NVDA,129.65,131.53,124.30,126.13,2277503
2024-01-24,NVDA,126.13,131.03,124.41,129.27,2081992
2024-01-25,NVDA,129.27,132.14,128.41,131.27,1785689
2024-01-26,NVDA,131.27,140.87,129.86,139.37,3546214
2024-01-29,NVDA,139.37,147.04,137.88,145.49,2720152
2024-01-30,NVDA,145.49,147.90,141.33,143.71,1546126
2024-01-31,NVDA,143.71,155.38,140.33,151.80,3197950
2024-02-01,NVDA,151.80,153.66,150.24,152.09,1354175
2024-02-02,NVDA,152.09,153.60,146.20,147.67,2362397
2024-02-05,NVDA,147.67,153.23,145.67,151.18,1852242
2024-02-06,NVDA,151.18,161.57,148.88,159.15,3259095
2024-02-07,NVDA,159.15,160.18,152.60,153.59,2560384
2024-02-08,NVDA,153.59,159.98,152.43,158.77,2573334
2024-02-09,NVDA,158.77,165.99,155.73,162.87,2292588
2024-02-12,NVDA,162.87,163.98,155.48,156.55,2562428
2024-02-13,NVDA,156.55,165.03,154.35,162.74,2809271
2024-02-14,NVDA,162.74,164.24,161.12,162.62,1025363
2024-02-15,NVDA,162.62,166.99,161.41,165.76,1726135
2024-02-16,NVDA,165.76,172.91,164.52,171.63,2508265
2024-02-19,NVDA,171.63,174.84,169.97,173.17,1422128
2024-02-20,NVDA,173.17,174.94,167.29,169.02,2016350
2024-02-21,NVDA,169.02,171.38,166.75,169.11,930775
2024-02-22,NVDA,169.11,171.75,159.51,162.05,2598699
