date,ticker,open,high,low,close,volume
2024-01-02,TSLA,255.00,258.19,244.80,247.90,2192131
2024-01-03,TSLA,247.90,258.77,245.33,256.11,2346170
2024-01-04,TSLA,256.11,263.93,250.37,258.14,1326009
2024-01-05,TSLA,258.14,265.34,246.25,253.31,1951201
2024-01-08,TSLA,253.31,256.26,247.90,250.82,1383906
2024-01-09,TSLA,250.82,262.42,247.49,258.99,2424448
2024-01-10,TSLA,258.99,264.84,239.25,244.78,3237507
2024-01-11,TSLA,244.78,245.79,241.69,242.70,1449793
2024-01-12,TSLA,242.70,247.91,223.34,228.24,3497075
2024-01-15,TSLA,228.24,235.37,222.78,229.87,1213518
2024-01-16,TSLA,229.87,235.93,229.31,235.36,2028040
2024-01-17,TSLA,235.36,237.28,230.17,232.07,1795731
2024-01-18,TSLA,232.07,234.96,225.24,228.08,1826164
2024-01-19,TSLA,228.08,243.99,225.88,241.67,3607330
2024-01-22,TSLA,241.67,244.94,231.91,235.09,2087593
2024-01-23,TSLA,235.09,241.59,231.72,238.17,1822630
2024-01-24,TSLA,238.17,247.20,233.13,242.07,1825545
2024-01-25,TSLA,242.07,257.87,238.91,254.54,3329247
2024-01-26,TSLA,254.54,254.97,253.55,253.97,1095115
2024-01-29,TSLA,253.97,256.14,240.95,243.03,2778806
2024-01-30,TSLA,243.03,243.66,242.25,242.88,1311764
2024-01-31,TSLA,242.88,243.51,240.44,241.06,1233126
2024-02-01,TSLA,241.06,245.15,232.70,236.72,1956972
2024-02-02,TSLA,236.72,237.58,234.38,235.24,1287540
2024-02-05,TSLA,235.24,237.36,224.26,226.30,2716677
2024-02-06,TSLA,226.30,226.68,212.19,212.54,3492059
2024-02-07,TSLA,212.54,225.18,208.71,221.19,2890407
2024-02-08,TSLA,221.19,226.09,208.22,212.93,2768044
2024-02-09,TSLA,212.93,215.65,207.89,210.58,1398006
2024-02-12,TSLA,210.58,216.51,208.99,214.89,1965866
2024-02-13,TSLA,214.89,217.51,210.21,212.81,1463726
2024-02-14,TSLA,212.81,216.63,211.65,215.45,1464276
2024-02-15,TSLA,215.45,222.13,214.15,220.79,2022398
2024-02-16,TSLA,220.79,223.40,214.44,217.00,1719590
2024-02-19,TSLA,217.00,217.05,209.20,209.25,2428923
2024-02-20,TSLA,209.25,209.67,205.87,206.28,1739754
2024-02-21,TSLA,206.28,209.53,194.69,197.81,2743500
2024-02-22,TSLA,197.81,210.00,193.30,205.31,2645758
2024-02-23,TSLA,205.31,209.46,202.70,206.83,1307375
2024-02-26,TSLA,206.83,207.80,205.69,206.66,947525
2024-02-27,TSLA,206.66,222.00,204.04,219.23,3377936
2024-02-28,TSLA,219.23,221.95,215.60,218.31,1367326
2024-02-29,TSLA,218.31,220.82,214.37,216.86,1335051
2024-03-01,TSLA,216.86,220.88,209.53,213.48,1765224
2024-03-04,TSLA,213.48,216.22,202.76,205.40,2523467
2024-03-05,TSLA,205.40,213.11,202.89,210.55,2089232
2024-03-06,TSLA,210.55,213.47,206.47,209.38,1431974
2024-03-07,TSLA,209.38,221.70,208.97,221.27,3401708
2024-03-08,TSLA,221.27,224.40,210.84,213.87,2571026
2024-03-11,TSLA,213.87,213.91,209.26,209.30,2153553
2024-03-12,TSLA,209.30,223.02,205.96,219.51,2879386
2024-03-13,TSLA,219.51,225.22,217.49,223.16,1907454
2024-03-14,TSLA,223.16,223.97,218.52,219.31,1717023
2024-03-15,TSLA,219.31,220.49,217.64,218.82,1236457
2024-03-18,TSLA,218.82,221.04,215.05,217.25,1447243
2024-03-19,TSLA,217.25,219.59,214.03,216.35,1191547
2024-03-20,TSLA,216.35,221.54,216.34,221.53,1860856
2024-03-21,TSLA,221.53,225.66,209.41,213.38,2489076
2024-03-22,TSLA,213.38,214.37,206.32,207.28,2064103
2024-03-25,TSLA,207.28,214.01,202.08,208.77,1292935
2024-03-26,TSLA,208.77,212.37,206.60,210.18,1195121
2024-03-27,TSLA,210.18,214.44,194.72,198.74,3191997
2024-03-28,TSLA,198.74,201.80,196.71,199.76,1397087
2024-03-29,TSLA,199.76,200.10,191.48,191.81,2630279
2024-04-01,TSLA,191.81,201.43,189.18,198.70,2587992
2024-04-02,TSLA,198.70,201.29,196.87,199.45,1423870
2024-04-03,TSLA,199.45,205.60,196.68,202.78,1844164
2024-04-04,TSLA,202.78,210.89,199.10,207.13,1814611
2024-04-05,TSLA,207.13,209.43,189.99,192.11,4000528
2024-04-08,TSLA,192.11,195.17,189.85,192.90,1078697
2024-04-09,TSLA,192.90,194.47,181.72,183.22,3170308
2024-04-10,TSLA,183.22,184.85,174.99,176.55,2637174
2024-04-11,TSLA,176.55,180.72,174.27,178.41,1606144
2024-04-12,TSLA,178.41,179.77,172.90,174.23,2189210
2024-04-15,TSLA,174.23,185.35,172.05,183.06,2941621
2024-04-16,TSLA,183.06,189.19,179.66,185.74,1725456
2024-04-17,TSLA,185.74,192.09,181.82,188.12,1796869
2024-04-18,TSLA,188.12,193.24,184.71,189.80,1315221
2024-04-19,TSLA,189.80,191.76,186.06,188.01,1549920
2024-04-22,TSLA,188.01,190.66,183.87,186.50,1602367
2024-04-23,TSLA,186.50,191.83,181.96,187.27,1116969
